manga,author,publisher,demographic,num_of_vol,serialized,sales,sales_per_vol,genre,isbn_10,isbn_13,description,cover_image_url,tags,rating_avg,year,year_bucket,amazon_link
Oishinbo,"Tetsu Kariya, Akira Hanasaki",Shogakukan,Seinen,111,1983–2014 (on hiatus),135million,1.22 million,Culinary,1421521393,9.78142E+12,"Around the offices of Tozai News, Shiro Yamaoka has a reputation for being over-blunt, under-ambitious, and generally an all-around slacker. So why has he been given the important job of coming up with the ""Ultimate Menu"" to celebrate the newspaper's 100th anniversary? Because he possesses qualities his other colleagues don't: an exquisitely discerning palate, an encyclopedic knowledge of food and drink, and a masterful touch in the kitchen.",http://books.google.com/books/content?id=slrOKwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Food, Seinen",59,1983,classic,https://www.amazon.com/s?k=9781421521398
Doraemon,Fujiko F. Fujio,Shogakukan,Children,45,1969–1996,250million,4.71 million,Comedy,4092270119,9.78409E+12,"Doraemon, a cat shaped robot which came from the 22nd century in the future, goes back in time in order to help Nobita, a below average lazy kid, to make his life less miserable and improve his descendent's life. With many of Doreamon's gadgets from the future, Nobita's life will never be as the same.",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx31032-EnHYnoLVqlWG.jpg,"Kids, Episodic, Robots, School, Primarily Child Cast",80,1969,classic,https://www.amazon.com/s?k=9784092270114
Golgo 13,"Takao Saito, Saito Production",Shogakukan,Seinen,205,1968–present,300million,1.46 million,Action,1421558378,9.78142E+12,"In 1991, UN inspectors found the incomplete Project Babylon--a cannon capable of hurling a shell 600 miles. In 1995, the Clinton administration learns of a second, hidden Iraqi supergun--now operational, and with a much, much longer range... There are only two options to destroy the supergun: send in an airstrike--or send in Golgo 13! Then, flash back to 1979 on the streets of San Francisco, where a hit-and-run accident intersects with a mob boss's terror that he is G13's next target... Plus excerpts from the File 13 dossier revealing the secrets of his personal data, false identities, alias, and more!",http://books.google.com/books/content?id=99arDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Seinen, Assassins, Historical, Crime, Foreign",73,1968,classic,https://www.amazon.com/s?k=9781421558370
Astro Boy,Osamu Tezuka,Kobunsha,Shōnen,23,1952–1968,100million,4.35 million,Science Fiction,1616558601,9.78162E+12,"In the distant year 2003, Japan is a technological utopia, and robots are everywhere. One such robot, Tobio, was built by the brilliant Dr. Tenma to replace his dead son. But when it soon becomes apparent that Tobio is an imperfect copy of his departed child, Dr. Tenma throws him out. He is rescued from the scrap heap by the benevolent Professor Ochanomizu, a crusader for robot civil rights. Now the little robot, renamed Astro Boy, is given a mission to defend Japan and the world from all manner of sinister threats. Using his seven super-abilities and 100,000 horsepower worth of strength to battle evil, Astro hopes to set an example to the world of the good which all robots are capable of.",http://books.google.com/books/content?id=S9jYCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Robots, Artificial Intelligence, Philosophy, Shounen, Politics",70,1952,classic,https://www.amazon.com/s?k=9781616558604
Berserk,"Kentaro Miura, Kōji Mori, Studio Gaga",Hakusensha,Seinen,41,1989–present,50million,1.25 million,Fantasy,1506711987,9.78151E+12,"His name is Guts, the Black Swordsman, a feared warrior spoken of only in whispers. Bearer of a gigantic sword, an iron hand, and the scars of countless battles and tortures, his flesh is also indelibly marked with The Brand, an unholy symbol that draws the forces of darkness to him and dooms him as their sacrifice. But Guts won't take his fate lying down; he'll cut a crimson swath of carnage through the ranks of the damned—and anyone else foolish enough to oppose him! Accompanied by Puck the Elf, more an annoyance than a companion, Guts relentlessly follows a dark, bloodstained path that leads only to death...or vengeance.",http://books.google.com/books/content?id=bLmHDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Tragedy, Seinen, Male Protagonist, Revenge, Demons",92,1989,,https://www.amazon.com/s?k=9781506711980
Black Jack,Osamu Tezuka,Akita Shoten,Shōnen,25,1973–1983,45.64million,1.83 million,Drama,194122069X,9.78194E+12,"Black Jack is a mysterious and charismatic young genius surgeon who travels the world performing amazing and impossible medical feats. Though a trained physician, he refuses to accept a medical license due to his hatred and mistrust of the medical community's hypocrisy and corruption. This leads Black Jack to occasional run-ins with the authorities, as well as from gangsters and criminals who approach him for illegal operations. Black Jack charges exorbitant fees for his services, the proceeds from which he uses to fund environmental projects and to aid victims of crime and corrupt capitalists. But because Black Jack keeps his true motives secret, his ethics are perceived as questionable and he is considered a selfish, uncaring devil. The Black Jack series is told in short stories. Each volume will contain 16-20 stories, each running approximately 20-24 pages in length. Black Jack is recognized as Osamu Tezuka's third most famous series, after Astro Boy and Kimba, the White Lion.",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/nx31600-CCA5TUKJBQJh.jpg,"Episodic, Male Protagonist, Medicine, Work, Ghost",81,1973,classic,https://www.amazon.com/s?k=9781941220696
Boys Be...,"Masahiro Itabashi, Hiroyuki Tamakoshi",Kodansha,Shōnen,32,1991–1997,25million,0.78 million,Romance,,9.7816E+12,A benched jock finds his game in the nightclubs of Shinjuku; an otaku gets more action than he can handle; two best friends eye the same hot girl . . . these are some of the ordinary guys who discover love for the first time.,https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30152-njHoNnwmir53.png,"School, Shounen, Male Protagonist, Episodic, Ensemble Cast",,1991,classic,https://www.amazon.com/s?k=9781595320995
Boys Over Flowers,Yoko Kamio,Shueisha,Shōjo,37,1992–2003,61million,1.64 million,Romance,142156890X,9.78142E+12,"Tsukushi Makino is accepted into the prestigious, Eitoku Academy. Life changes dramatically for Tsukushi when her friend falls on Tsukasa Domyoji. Tsukasa is the explosive leader of the ""F4,"" a group of the most powerful, rich and handsome boys. Domyoji refuses to accept Makiko's apology and Tsukushi steps in to protect her friend. A red tag appears in the Tsukushi's locker the next morning which is a sign from the F4 that she is to be bullied by the school. Tskushi continues to stand up to her oppressors.",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30877-rh2We7eqWcZa.png,"Shoujo, School, Male Harem, Love Triangle, Primarily Teen Cast",73,1992,classic,https://www.amazon.com/s?k=9781421568904
Buddha,Osamu Tezuka,Ushio Shuppan,Seinen,14,1972–1983,20million,1.42 million,Historical,1945054964,9.78195E+12,"Osamu Tezuka's vaunted storytelling genius, consummate skill at visual expression, and warm humanity blossom fully in his eight-volume epic of Siddhartha's life and times. Tezuka evidences his profound grasp of the subject by contextualizing the Buddha's ideas; the emphasis is on movement, action, emotion, and conflict as the prince Siddhartha runs away from home, travels across India, and questions Hindu practices such as ascetic self-mutilation and caste oppression. Rather than recommend resignation and impassivity, Tezuka's Buddha predicates enlightenment upon recognizing the interconnectedness of life, having compassion for the suffering, and ordering one's life sensibly. Philosophical segments are threaded into interpersonal situations with ground-breaking visual dynamism by an artist who makes sure never to lose his readers' attention. Tezuka himself was a humanist rather than a Buddhist, and his magnum opus is not an attempt at propaganda. Hermann Hesse's novel or Bertolucci's film is comparable in this regard; in fact, Tezuka's approach is slightly irreverent in that it incorporates something that Western commentators often eschew, namely, humor.",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx31111-ldPYMNd3PvHa.png,"Philosophy, Historical, Foreign, Religion, War",82,1972,classic,https://www.amazon.com/s?k=9781945054969
Cat's Eye,Tsukasa Hojo,Shueisha,Shōnen,18,1981–1984,20million,1.11 million,Action,None,9.79889E+12,"Café owners by day, art thieves by night, the three sisters Hitomi, Rui, and Ai have high-risk lives outside of their day jobs. Hitomi especially needs to keep her secret under wraps, since she’s dating Toshio—the police officer assigned to catch the Cat’s Eye thief! Cat’s Eye’s targets are easy to spot: They’re all art pieces authored by acclaimed genius painter Heinz. What museums don’t know is that this artist is the missing father to the three “Cat’s Eye” siblings. As the sisters reclaim one piece after another, spreading their infamous name, a conspiracy gradually begins to reveal itself. How can their father come out of hiding when the bloodthirsty syndicate that betrayed him to steal his work and fame—many of whom were once his closest apprentices and art collectors—are still so powerful in the art world? When Cat’s Eye tightropes another canvas out of a heavily guarded exhibit, the cops are pressed to apprehend the thief. Can the sisters discover the truth about their missing father? Or will they be apprehended by Hitomi’s star-crossed lover Toshio or killed by the looming syndicate responsible for the father’s disappearance. As the heists continue, the stakes only get higher. Known for his exceptional storytelling, Tsukasa Hojo is also the mastermind behind the iconic series City Hunter, showcasing his remarkable ability to weave thrilling narratives full of action and intrigue.",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx31932-QSXklPSiF6Br.jpg,"Shounen, Crime, Episodic, Police, Primarily Female Cast",69,1981,classic,https://www.amazon.com/s?k=9798887079431
Chainsaw Man,Tatsuki Fujimoto,Shueisha,Shōnen,12,2018–present,20million,1.66 million,Action,1974723097,9.78197E+12,"Denji’s a poor young man who’ll do anything for money, even hunting down devils with his pet devil Pochita. He’s a simple man with simple dreams, drowning under a mountain of debt. But his sad life gets turned upside down one day when he’s betrayed by someone he trusts. Now with the power of a devil inside him, Denji’s become a whole new man—Chainsaw Man!",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx105778-euxXZEIfDY2u.png,"Demons, Tragedy, Urban Fantasy, Dissociative Identities, Male Protagonist",85,2018,modern,https://www.amazon.com/s?k=9781974723096
City Hunter,Tsukasa Hojo,Shueisha,Shōnen,35,1985–1991,50million,1.42 million,Action,None,9.79889E+12,"Ryo Saeba is a ""sweeper"" in the city of Tokyo. His works as a trouble shooter, cleaning the streets of vermin, and helping out desperate people. Sometimes he's a bodyguard, sometimes he's an assassin, whatever Ryo does he does it well. In fact his only flaw is his hormones - he loves the ladies and sometimes turns into an idiot when he's near them. Thankfully he's got people like his sidekick Kaori Makimura to keep him in check.",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30792-62RxEnU7tlDg.png,"Police, Shounen, Episodic, Guns, Crime",78,1985,classic,https://www.amazon.com/s?k=9798887079448
D.Gray-man,Katsura Hoshino,Shueisha,Shōnen,28,2004–present,25million,0.89 million,Action,1421547856,9.78142E+12,"A born exorcist, Walker's primary anti-akuma weapon is the cross that's embossed on his red, disfigured left hand, which contains Innocence. But not only does Walker destroy akuma, he sees the akuma hiding inside a person's soul! Together with his fellow exorcists fighting under the command of the Black Order, Walker leads the battle against the Millennium Earl, the evil being out to destroy mankind. -- VIZ Media",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30024-UUUz8xxkt8pc.jpg,"Demons, Amnesia, Tragedy, Super Power, Foreign",81,2004,2000s,https://www.amazon.com/s?k=9781421547855
Dear Boys,Hiroki Yagami,Kodansha,Shōnen,81,1989–present,45million,0.55 million,Sports,6164314186,9.78616E+12,"At the outset of the manga the team is in trouble, as there are not enough players to play a game. Additionally, the coach has left after a conflict with Fujiwara. However, Aikawa transfers to Mizuho and through his enthusiasm and sheer love of the game, infuses the few remaining members with a sense of purpose. Despite the fact that there are only five of them (i.e., they have no substitutes), they manage to get the coach of the girls' team to coach them as well. At first, she seems very strict, but later reveals her attachment to her ""Dear Boys"". Together, they do their best to make their dreams come true.",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/1294.jpg,"Shounen, School Club, Basketball",51,1989,classic,https://www.amazon.com/s?k=9786164314184
Dragon Quest: The Adventure of Dai,"Riku Sanjo, Koji Inada",Shueisha,Shōnen,37,1989–1996,47million,1.27 million,Adventure,1974729907,9.78197E+12,"Before his adventure begins, Dai lives in peace as the lone human among monsters on Dermline Island. While he dreams of becoming a hero, a group of fakes shows up to kidnap the Golden Metal Slime! Then, when Princess Leona arrives in need of a hero, Dai is ready to answer her call...but he needs more training! Will a tutor come along to help him? -- VIZ Media",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30871-NzemCChOPyDk.jpg,"Shounen, Magic, Demons, Male Protagonist, Swordplay",76,1989,classic,https://www.amazon.com/s?k=9781974729906
Eyeshield 21,"Riichiro Inagaki, Yusuke Murata",Shueisha,Shōnen,37,2002–2009,20million,0.54 million,Sports,1421511665,9.78142E+12,"Catch all the bone-crushing action and slapstick comedy of Japan's hottest football manga! Wimpy Sena Kobayakawa has been running away from bullies all his life. But when the football gear comes on, things change--Sena's speed and uncanny ability to elude big bullies just might give him what it takes to become a great high school football hero! Catch all the bone-crushing action and slapstick comedy of Japan's hottest football manga! The Drive to Be the Best With their former kicker back on the team, the Devil Bats have a real shot at closing the gap against the Seibu Wild Gunmen. But Seibu is still a major threat. Can the Devil Bats hold on for the victory?",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30043-b2SqUjwSzfIH.png,"American Football, Shounen, Male Protagonist, School Club, Coming of Age",82,2002,2000s,https://www.amazon.com/s?k=9781421511665
Fire Force,Atsushi Ohkubo,Kodansha,Shōnen,34,2015–2022,20million,0.58 million,Action,1682335119,9.78168E+12,"Terror has paralyzed the clockwork metropolis of Tokyo! Possessed by demons, people have begun to burst into flame, leading to the establishment of a special firefighting team: the Fire Force, ready to roll on a moment's notice to fight spontaneous combustion anywhere it might break out. The team is about to get a very unique addition: Shinra, a boy who possesses the unique power to run at the speed of a rocket, leaving behind the famous ""devil's footprints"" (and destroying his shoes in the process). Can the Fire Force discover the source of this strange phenomenon and put a stop to it? Or will the city burn to ashes first?",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/nx86310-OraykJ8bRNTr.jpg,"Cosmic Horror, Super Power, Religion, Gods, Shounen",78,2015,modern,https://www.amazon.com/s?k=9781682335116
Flame of Recca,Nobuyuki Anzai,Shogakukan,Shōnen,33,1995–2002,25million,0.75 million,Action,142156386X,9.78142E+12,"Teenager Recca Hanabishi is always up for a good-natured tussle with his friends. That's because he's famous at school and around town for being a super ninja geek. Armed with the power to control flame, Recca suddenly finds himself in an awkward situation. On the day he pledges his undying ninja allegiance to a pretty classmate named Yanagi Sakoshita, a mysterious older woman pops into his life. Is she good? Is she evil? What exactly does she want? And what's the deal with tomboy, Fuko Kirisawa? She's got the power of wind at her command. Does she want to smash our hero to smithereens, or does she simply want to kiss him?",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30136-HdYtqkCdUQ2D.png,"Shounen, Ninja, Super Power, Nudity, Male Protagonist",74,1995,classic,https://www.amazon.com/s?k=9781421563862
Food Wars!: Shokugeki no Soma,"Yūto Tsukuda, Shun Saeki",Shueisha,Shōnen,36,2012–2019,20million,0.55 million,Culinary,3551778183,9.78355E+12,"Yukihira Souma's dream is to become a full-time chef in his father's restaurant and surpass his father's culinary skill. But just as Yukihira graduates from middle schools his father, Yukihira Jouichirou, closes down the restaurant to cook in Europe. Although downtrodden, Souma's fighting spirit is rekindled by a challenge from Jouichirou which is to survive in an elite culinary school where only 10% of the students graduate. Can Souma survive?",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx75757-5H35Qy1zGRHI.png,"Food, School, Male Protagonist, Shounen, Nudity",74,2012,modern,https://www.amazon.com/s?k=9783551778185
Fushigi Yûgi,Yuu Watase,Shogakukan,Shōjo,18,1991–1996,20million,1.11 million,Fantasy,1974721892,9.78197E+12,"The year is 1923. Suzuno Ohsugi’s father, Takao, warns her to stay away from The Universe of the Four Gods, telling her it’s a book that only men can touch. He knows that in order to enact its story, the book needs one last heroine: the Priestess of Byakko! After the Great Kanto Earthquake strikes, Suzuno and Takao are trapped in their burning home. Takao has only one chance to save his young daughter, and that is to send her into The Universe of the Four Gods!",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30084-GDzkhM6F3Eun.jpg,"Historical, Isekai, Male Harem, Shoujo, Heterosexual",70,1991,classic,https://www.amazon.com/s?k=9781974721894
Gin Tama,Hideaki Sorachi,Shueisha,Shōnen,77,2003–2019,55.5million,0.72 million,Comedy,1421513587,9.78142E+12,"The samurai didn't stand a chance. First, the aliens invaded Japan. Next, they took all the jobs. And then they confiscated everyone's swords. So what does a hotheaded former samurai like Sakata ""Gin"" Gintoki do to make ends meet? Take any odd job that comes his way, even if it means losing his dignity.",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30044-vPmoz3vTPvZs.jpg,"Found Family, Samurai, Parody, Meta, Swordplay",86,2003,2000s,https://www.amazon.com/s?k=9781421513584
Hikaru no Go,"Yumi Hotta, Takeshi Obata",Shueisha,Shōnen,23,1998–2003,25million,1.08 million,Sports,159116222X,9.78159E+12,"After stumbling across a haunted Go board, irresponsible Hikaru Shindo discovers that the spirit of a master player has taken up residence in his consciousness. In his pursuit of the ""Divine Move,"" Fujiwara-no-Sai awakens in Hikaru an untapped interest and genius for the game, and soon the schoolboy is chasing his own dream--defeating the famed Go prodigy Akira Toya!",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30020-5NZUzVqJPD2L.png,"Go, Coming of Age, Male Protagonist, Shounen, Ghost",79,1998,classic,https://www.amazon.com/s?k=9781591162223
Hoshin Engi,Ryu Fujisaki,Shueisha,Shōnen,23,1996–2000,22million,0.95 million,Fantasy,1974702936,9.78197E+12,"Armed with his new weapon, the Dashinben, Taikobo seeks revenge on the demon Dakki and her sinister sisters. He finds out much more about the godlike Sennins--and what may have really happened to his clan. But looking for survivors only means falling further into Dakki's darkness. -- VIZ Media",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30922-HosROLbCNQ7v.jpg,"Classic Literature, Shounen, Historical, Meta, Ancient China",68,1996,classic,https://www.amazon.com/s?k=9781974702930
Initial D,Shuichi Shigeno,Kodansha,Seinen,48,1995–2013,56 million,1.16 million,Sports,1931514984,9.78193E+12,"Only the fearless survive in the white-hot world of street racing, as teams take on dangerous roads in the shadow of Mt. Akina. Behind the wheel of the mysterious ""Ghost of Akina"" is Takumi, on his way to becoming the greatest racer ever.
",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/nx30375-YFIIOwp5kSqW.jpg,"Cars, Seinen, Male Protagonist, Coming of Age, School",81,1995,classic,https://www.amazon.com/s?k=9781931514989
Inuyasha,Rumiko Takahashi,Shogakukan,Shōnen,56,1996–2008,50million,0.89 million,Fantasy,1569319472,9.78157E+12,"Kagome is a modern Japanese high school girl. Never the type to believe in myths and legends, her world view dramatically changes when, one day, she's pulled out of her own time and into another! There, in Japan's ancient past, Kagome discovers more than a few of those dusty old legends are true, and that her destiny is linked to one legendary creature in particular--the dog-like half-demon called Inuyasha! That same trick of fate also ties them both to the Shikon Jewel, or ""Jewel of Four Souls."" But demons beware...the smallest shard of the Shikon Jewel can give the user unimaginable power.",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30676-kQTOiNRyKwqL.jpg,"Demons, Youkai, Shounen, Historical, Kemonomimi",77,1996,classic,https://www.amazon.com/s?k=9781569319475
Itazura na Kiss,Kaoru Tada,Shueisha,Shōjo,23,1990–1999,35million,1.52 million,Romance,1569701318,9.78157E+12,"High school senior Kotoko Aihara has had a crush on Naoki Irie since his freshman year. Unfortunately, a few things are discouraging her from him: he's a member of ""Class A,"" the top ranking class in school, whereas she's in ""Class F""; he gets the top score on every exam; and he's so smart, popular, and handsome that he's been class president every year. When Kotoki finally musters up the courage to present him with a love letter, though, Naoki outright refuses it, telling her point blank -- with a look of disgust and boredom -- that he doesn't like ""stupid girls."" Poor Kotoko's worst nightmare",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx33523-oY1sNJ1k34DC.jpg,"Shoujo, Coming of Age, Female Protagonist, Tsundere, Work",68,1990,classic,https://www.amazon.com/s?k=9781569701317
Jujutsu Kaisen,Gege Akutami,Shueisha,Shōnen,21,2018–present,70million,3.33 million,Action,197471568X,9.78197E+12,"Although Yuji Itadori looks like your average teenager, his immense physical strength is something to behold! Every sports club wants him to join, but Itadori would rather hang out with the school outcasts in the Occult Research Club. One day, the club manages to get their hands on a sealed cursed object. Little do they know the terror they’ll unleash when they break the seal...",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx101517-H3TdM3g5ZUe9.jpg,"Urban Fantasy, Demons, Super Power, Shounen, Tragedy",80,2018,modern,https://www.amazon.com/s?k=9781974715688
Kimagure Orange Road,Izumi Matsumoto,Shueisha,Shōnen,18,1984–1987,20million,1.11 million,Romance,1569703566,9.78157E+12,"Secretly-psychic Kyosuke has just settled into a bustling school filled with brand-new faces, but he wastes no time making waves! With both the shy and mysterious Madoka and the high-energy Hikaru spinning in and out of his life, Kyosuke's dizzy with the first sweet rush of female attention! But will his instincts lead him into the arms (and heart) of the right girl?",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx31407-s2juAJZI6ayF.jpg,"Love Triangle, Shounen, Episodic, School, Super Power",71,1984,classic,https://www.amazon.com/s?k=9781569703564
Kimi ni Todoke,Karuho Shiina,Shueisha,Shōjo,30,2005–2017,33million,1.10 million,Romance,142155092X,9.78142E+12,"Sawako Kuronuma is the perfect heroine...for a horror movie. With striking similarities to a haunting movie character--jet-black hair, sinister smile and silent demeanor--she's mistakenly called Sadako by those around her. But behind her scary façade is a very misunderstood teenager. Too shy to fit in, all she wants to do is make some friends. But when the most popular boy in class befriends her, she's sure to make more than just that--she's about to make some enemies too!",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx33378-G9sHqsJryoP2.jpg,"Shoujo, Female Protagonist, School, Coming of Age, Heterosexual",82,2006,2000s,https://www.amazon.com/s?k=9781421550923
Magi: The Labyrinth of Magic,Shinobu Ohtaka,Shogakukan,Shōnen,37,2009–2017,25million,0.67 million,Adventure,142155951X,9.78142E+12,"Deep within the deserts lie the mysterious Dungeons, vast stores of riches there for the taking by anyone lucky enough to find them and brave enough to venture into the depths from where few have ever returned. Plucky young adventurer Aladdin means to find the Dungeons and their riches, but Aladdin may be just as mysterious as the treasures he seeks. Together with the djinn Ugo and his friend Alibaba, Aladdin sets out to find his fortune in the depths of the endless dunes…",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx44790-4Rzup5aNVcVC.png,"Magic, Foreign, Conspiracy, War, Politics",81,2009,2000s,https://www.amazon.com/s?k=9781421559513
Major,Takuya Mitsuda,Shogakukan,Shōnen,101,1994–present,60.5million,0.59 million,Sports,,9.78409E+12,"The story of Major follows the life of Goro Honda, from kindergarten to being a professional baseball player, seeking and overcoming tremendous challenges.",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx40978-Po9kFRHLoIe4.png,"Baseball, Coming of Age, Male Protagonist, Shounen, Heterosexual",76,1994,classic,https://www.amazon.com/s?k=9784091234919
My Hero Academia,Kōhei Horikoshi,Shueisha,Shōnen,34,2014–present,65million,1.91 million,Action,8380963474,9.78838E+12,"Middle school student Izuku Midoriya wants to be a hero more than anything, but he hasn’t got an ounce of power in him. With no chance of ever getting into the prestigious U.A. High School for budding heroes, his life is looking more and more like a dead end. Then an encounter with All Might, the greatest hero of them all, gives him a chance to change his destiny…",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx97154-F7eF8hnjAPNI.jpg,"School, Super Power, Shounen, Male Protagonist, Primarily Teen Cast",70,2016,modern,https://www.amazon.com/s?k=9788380963474
Nana,Ai Yazawa,Shueisha,Shōjo,21,2000–2009 (on hiatus),50million,2.38 million,Romance,1421501082,9.78142E+12,"Nana Komatsu is a young woman who's endured an unending string of boyfriend problems. Moving to Tokyo, she's hoping to take control of her life and put all those messy misadventures behind her. She's looking for love and she's hoping to find it in the big city. Nana Osaki, on the other hand, is cool, confident and focused. She swaggers into town and proceeds to kick down the doors to Tokyo's underground punk scene. She's got a dream and won't give up until she becomes Japan's No. 1 rock'n'roll superstar. This is the story of two 20-year-old women who share the same name. Even though they come from completely different backgrounds, they somehow meet and become best friends. The world of Nana is a world exploding with sex, music, fashion, gossip and all-night parties.",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx74535-MW9qpSjlRnMd.png,"Primarily Adult Cast, Female Protagonist, Band, Shoujo",88,1996,classic,https://www.amazon.com/s?k=9781421501086
Neon Genesis Evangelion,Yoshiyuki Sadamoto,Kadokawa Shoten,Shōnen,14,1994–2013,25million,1.78 million,Science Fiction,1421553473,9.78142E+12,"In 2015, the ""Angels"" have returned, and Shinji Ikari, a fourteen year-old child of the new Earth, is forced by his father Gendo--commander of the secret organization NERV--to pilot the monstrous biomechanical weapon called ""Evangelion"" to match the Angels' fearsome power... Eva Vol. 1 contains a Japanese sound FX glossary plus a commentary by series mecha designer Ikuto Yamashita and the famous ""confession letter"" written by director Hideaki Anno in the months before the original TV premiere of Evangelion. -- VIZ Media",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30698-0niTa3yn2rNK.png,"Philosophy, Coming of Age, Kaiju, Tragedy, Military",84,1994,classic,https://www.amazon.com/s?k=9781421553474
Nodame Cantabile,Tomoko Ninomiya,Kodansha,Josei,23,2001–2009,38.7million,1.68 million,Romance,None,9.78168E+12,"The son of a famous pianist, music student Shinichi Chiaki dreams of studying abroad and becoming a conductor like his mentor. Unfortunately, his fear of flying grounds his lofty plans! As he watches other classmates achieve what he has always wanted, Shinichi wonders if he should quit music altogether. Then one day he meets fellow student Megumi Noda, also known as Nodame. This oddball girl cannot cook, clean, or even read a music score, but she can play the piano in incomparable Cantabile style. And she teaches Chiaki something that he has forgotten: to enjoy his music, no matter where he is.",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30419-lT7p72ItXPNK.jpg,"College, Primarily Adult Cast, Heterosexual, Josei, Musical Theater",81,2001,2000s,https://www.amazon.com/s?k=9781682333082
Oh My Goddess!,Kōsuke Fujishima,Kodansha,Seinen,48,1988–2014,25million,0.52 million,Romance,1616558555,9.78162E+12,"A wrong number dialed from his dorm room on a Saturday night connects Keiichi Morisato to the Goddess Technical Help Line. When the goddess Belldandy shows up and tells him she will grant him one wish, he jokingly wishes that she would stay with him always. To both his and Belldandy's surprise, the wish is granted and Keiichi's life will never be the same.",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30446-jZGZDauOOb8Q.png,"Gods, Magic, Seinen, Primarily Adult Cast, Urban Fantasy",73,1988,classic,https://www.amazon.com/s?k=9781616558550
Parasyte,Hitoshi Iwaaki,Kodansha,Seinen,10,1988–1995,25million,2.50 million,Horror,None,9.7989E+12,"They arrive in silence and darkness. They descend from the skies. They have a hunger for human flesh. They are everywhere. They are parasites, alien creatures who must invade–and take control of–a human host to survive. And once they have infected their victims, they can assume any deadly form they choose: monsters with giant teeth, winged demons, creatures with blades for hands. But most have chosen to conceal their lethal purpose behind ordinary human faces. So no one knows their secret–except an ordinary high school student. Shin is battling for control of his own body against an alien parasite, but can he find a way to warn humanity of the horrors to come?",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30401-siY6wmwnHFi6.png,"Male Protagonist, Seinen, Body Horror, Aliens, Environmental",82,1989,classic,https://www.amazon.com/s?k=9798897224494
Rave Master,Hiro Mashima,Kodansha,Shōnen,35,1999–2005,23.5million,0.67 million,Adventure,1598160893,9.7816E+12,"The Continent of Song is in chaos. The sinister secret society known as Demon Card is using the power of Dark Bring to destroy everything in their path. The only things capable of stopping Dark Bring are the Rave stones. Unfortunately, the Rave Stones were scattered around the globe in an explosion 50 years ago, so now they must be collected by the Rave Master in order to stop Dark Bring once and for all. This new task has been given to Haru Glory; a sixteen-year-old boy from Garage Island. The World's fate now rests on the new, young Rave Master.",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/nx30014-Q7yKgaHVVmUg.jpg,"Shounen, Male Protagonist, Time Manipulation, Female Protagonist, Travel",75,1999,classic,https://www.amazon.com/s?k=9781598160895
